replication,moderate_passive_failure,moderate_active_failure,passive_active_classification,severe_passive_failure,severe_active_failure,primary_family,event_count,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C
280,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,False,True,True
281,False,False,Non-failure,False,False,Non-failure,1,434.9483425794797,False,False,False,False,False
282,False,False,Non-failure,False,False,Non-failure,2,2871.2348306729773,False,False,True,False,False
283,False,False,Non-failure,False,False,Non-failure,2,199.6910764361421,False,False,False,True,False
284,False,False,Non-failure,False,False,Non-failure,2,2738.306700281046,True,False,False,False,False
285,False,False,Non-failure,False,False,Non-failure,2,386.6663612702582,False,True,False,True,False
286,False,False,Non-failure,False,False,Non-failure,2,642.2509986761655,True,False,False,True,False
287,False,False,Non-failure,False,False,Non-failure,2,262.50991542930365,True,False,False,False,True
288,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1617.7028943313608,True,False,False,True,False
289,False,False,Non-failure,False,False,Non-failure,2,64.69657295012621,False,True,False,True,False
290,False,False,Non-failure,False,False,Non-failure,2,693.6192936154013,True,False,False,True,False
291,False,False,Non-failure,False,False,Non-failure,2,288.5547825688652,False,True,True,False,False
292,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,2468.127295744728,False,True,False,False,False
293,False,False,Non-failure,False,False,Non-failure,2,60.680429212149534,False,False,True,True,False
294,True,False,Adaptation-limited,False,False,Propagation-amplified cascade,2,1445.829220455774,True,False,False,False,False
295,False,False,Non-failure,False,False,Non-failure,2,7.0402945711232405,True,False,False,False,True
296,False,False,Non-failure,False,False,Non-failure,2,1149.556986999487,False,True,False,False,False
297,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,False,True
298,False,False,Non-failure,False,False,Non-failure,2,93.05836802902002,False,True,False,True,False
299,False,False,Non-failure,False,False,Non-failure,2,193.946131559253,False,False,False,True,True
300,False,False,Non-failure,False,False,Non-failure,1,0.0,True,False,False,False,False
301,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1300.0256454149703,True,False,False,True,False
302,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,True,False,False
