architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,max_memory_mb,memory_measurement,node_count,edge_count
partitioned,9,52,4,50,4,completed,50,50,200,0.8116717000375502,0.811520499875769,3.1413338998681866,4.905500199995004,650,303,347,879.38671875,Windows GetProcessMemoryInfo working set,14,13
partitioned,9,52,4,50,5,completed,50,50,200,0.9313666999223642,0.9014198001241311,3.4744890001020394,5.466771900013555,650,303,347,879.3984375,Windows GetProcessMemoryInfo working set,14,13
partitioned,30,52,1,50,1,completed,50,0,0,1.829832500021439,0.0,0.0,1.977789600030519,50,50,0,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,1,50,2,completed,50,0,0,1.9306872998713516,0.0,0.0,2.081439500034321,50,50,0,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,1,50,3,completed,50,0,0,1.9050310000311583,0.0,0.0,2.0431536000105552,50,50,0,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,1,50,4,completed,50,0,0,1.7085787999094464,0.0,0.0,1.847026299976278,50,50,0,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,1,50,5,completed,50,0,0,2.2343719998025335,0.0,0.0,2.53265750000719,50,50,0,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,2,50,1,completed,50,50,100,1.9619964001467451,1.9618130999151617,3.9893340000417084,8.054089599987492,350,201,149,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,2,50,2,completed,50,50,100,2.1221538999234326,2.1489200000069104,4.412987499788869,8.839370500005316,350,201,149,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,2,50,3,completed,50,50,100,2.217505100183189,2.199794900021516,5.268681999994442,9.846240699989721,350,201,149,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,2,50,4,completed,50,50,100,1.8989834999083541,1.85743350017583,3.950573400245048,7.855166400026064,350,201,149,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,2,50,5,completed,50,50,100,1.8177056004060432,1.8219735002494417,3.72948100004578,7.522846799984109,350,201,149,879.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,50,1,completed,50,50,200,2.1732948999269865,2.4717528997571208,8.841251499950886,13.646208100020885,650,303,347,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,50,2,completed,50,50,200,2.8270706998882815,2.5887700001476333,11.057081800012384,16.676831699965987,650,303,347,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,50,3,completed,50,50,200,2.5056154999765567,2.433833499730099,9.935508899914566,15.04920430004131,650,303,347,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,50,4,completed,50,50,200,2.617809099785518,3.2982502001104876,9.901167500356678,15.993391299969517,650,303,347,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,50,5,completed,50,50,200,2.5479744999902323,2.249906199926045,8.167945599881932,13.111046899983194,650,303,347,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,100,1,completed,100,100,400,4.1581228999421,4.373355700110551,17.040154100046493,25.890523399983067,1300,603,697,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,100,2,completed,100,100,400,3.9672667997074313,4.096238400088623,16.58011879993137,24.942854800028726,1300,603,697,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,100,3,completed,100,100,400,3.8402889001881704,4.010329499957152,15.941565899760462,24.069532399997115,1300,603,697,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,100,4,completed,100,100,400,4.426122000499163,4.4494528999202885,17.722135899646673,26.91394279996166,1300,603,697,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,100,5,completed,100,100,400,4.6939917001873255,4.157087599916849,16.359894400229678,25.49633380002342,1300,603,697,879.40234375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,200,1,completed,200,200,800,8.187460299697705,8.292501100804657,32.77064820029773,49.8186978000449,2600,1203,1397,879.46484375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,200,2,completed,200,200,800,8.387471999973059,8.49878870084649,34.69645709992619,52.225364100013394,2600,1203,1397,879.46484375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,200,3,completed,200,200,800,9.737899600237142,10.07909440016374,39.861328099970706,60.36537029995816,2600,1203,1397,879.48046875,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,200,4,completed,200,200,800,8.02820609981427,8.359820100304205,33.2428191001527,50.213492700015195,2600,1203,1397,879.48046875,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,200,5,completed,200,200,800,8.38481859996682,8.163311199867167,32.0557444000151,49.197035799967125,2600,1203,1397,879.4765625,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,500,1,timeout,467,468,1868,20.41472529969178,19.909091701323632,78.20176450069994,120.02974839997478,6072,2806,3266,879.8515625,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,500,2,timeout,439,439,1756,19.736338000162505,19.901632998604327,78.96745190036017,120.10069930000464,5707,2637,3070,879.8515625,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,500,3,timeout,496,496,1984,19.695667400606908,19.91936279978836,79.07786439999472,120.11450830003014,6448,2979,3469,879.9765625,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,500,4,timeout,470,470,1880,19.757505500048865,19.702235499280505,78.91141089960001,120.00164669996593,6110,2823,3287,880.484375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,4,500,5,completed,500,500,2000,19.063789100793656,19.137168400804512,76.16106089937966,115.70077749999473,6500,3003,3497,880.484375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,8,50,1,completed,50,50,400,2.0181534001603723,2.036605700151995,12.53828720015008,16.73432650003815,1550,405,1145,880.734375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,8,50,2,completed,50,50,400,2.006240900256671,2.0860266000963748,12.247052699734922,16.475279100006446,1550,405,1145,880.734375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,8,50,3,completed,50,50,400,2.140537900093477,2.1236373999272473,13.22747199976584,17.6307295000297,1550,405,1145,880.734375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,8,50,4,completed,50,50,400,2.048459500016179,2.135426599998027,12.621022499748506,16.94028000003891,1550,405,1145,880.734375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,8,50,5,completed,50,50,400,2.0921495996881276,2.1609011003747582,12.422823800123297,16.809411900001578,1550,405,1145,880.734375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,16,50,1,completed,50,50,800,2.5757024999475107,2.5263545002089813,26.533740999933798,31.773684899962973,4550,609,3941,885.39453125,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,16,50,2,completed,50,50,800,2.391744500375353,2.401711499784142,24.548625999770593,29.479958300013095,4550,609,3941,885.07421875,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,16,50,3,completed,50,50,800,2.5949247997486964,2.6425275002839044,26.765401199751068,32.14269129995955,4550,609,3941,884.94921875,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,16,50,4,completed,50,50,800,2.4357088998658583,2.3885085002402775,24.857317599933594,29.809675699973013,4550,609,3941,885.20703125,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,52,16,50,5,completed,50,50,800,2.5537352000828832,2.5816650999477133,25.65215810009977,30.934888099960517,4550,609,3941,885.0859375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,104,4,50,1,completed,50,50,200,3.7194538998883218,3.867660900054034,15.064263700158335,22.792875799990725,650,303,347,888.3984375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,104,4,50,2,completed,50,50,200,3.78270329994848,3.710519399784971,15.120947400224395,22.749825100007,650,303,347,888.6796875,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,104,4,50,3,completed,50,50,200,3.8016070001758635,3.9384599999175407,15.40820709982654,23.284739600028843,650,303,347,888.30859375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,104,4,50,4,completed,50,50,200,3.8743360997759737,3.7557716001174413,15.461827800027095,23.242333799949847,650,303,347,888.3203125,Windows GetProcessMemoryInfo working set,42,41
