method,alpha,duration,candidate_count,threshold_crossings,full_signatures,full_signature_count
MI-M,0.9,1,50,44,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-M,0.9,2,50,42,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance,6
MI-M,0.9,3,50,36,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance,7
MI-M,0.9,4,50,34,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance,6
MI-M,0.85,1,50,39,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-M,0.85,2,50,34,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,8
MI-M,0.85,3,50,30,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,8
MI-M,0.85,4,50,24,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,5
MI-M,0.8,1,50,35,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,5
MI-M,0.8,2,50,30,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
MI-M,0.8,3,50,27,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
MI-M,0.8,4,50,21,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,4
MI-MD,0.9,1,50,43,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-MD,0.9,2,50,42,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance,6
MI-MD,0.9,3,50,33,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance,7
MI-MD,0.9,4,50,30,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance,5
MI-MD,0.85,1,50,37,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,5
MI-MD,0.85,2,50,34,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,8
MI-MD,0.85,3,50,29,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,7
MI-MD,0.85,4,50,24,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,5
MI-MD,0.8,1,50,33,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,5
MI-MD,0.8,2,50,27,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
MI-MD,0.8,3,50,27,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
MI-MD,0.8,4,50,21,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,4
MI-MDA,0.9,1,50,43,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-MDA,0.9,2,50,42,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance,7
