execution_id,request_id,method,candidate_id,threshold,purpose,active,direct_impact,event_indices,event_specification,elapsed_seconds,topology
100,208,RST,RST-32,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.006502099975477904,A
101,212,RST,RST-33,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.006367800000589341,A
102,213,RST,RST-33,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.01338770001893863,A
103,216,RST,RST-33,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.006640100036747754,A
104,220,RST,RST-34,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.006417100026737899,A
105,221,RST,RST-34,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.006237399997189641,A
106,224,RST,RST-34,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.006604199996218085,A
107,228,RST,RST-35,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.0063176999683491886,A
108,229,RST,RST-35,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.005249599984381348,A
109,232,RST,RST-35,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]",0.011543800006620586,A
110,236,RST,RST-36,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.006571099977008998,A
111,237,RST,RST-36,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.006571099977008998,A
112,238,RST,RST-36,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4}]",0.00643159996252507,A
113,239,RST,RST-36,moderate,singleton,False,False,1,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.0065722999861463904,A
114,241,RST,RST-36,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.0066580999991856515,A
115,246,RST,RST-37,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.006593199970666319,A
116,247,RST,RST-37,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.006491800013463944,A
117,248,RST,RST-37,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4}]",0.008089400012977421,A
118,251,RST,RST-37,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.007983899966347963,A
119,256,RST,RST-38,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.008010399993509054,A
120,257,RST,RST-38,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.006584100017789751,A
121,258,RST,RST-38,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4}]",0.006373699987307191,A
122,261,RST,RST-38,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.008315799990668893,A
123,266,RST,RST-39,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.007085599994752556,A
124,267,RST,RST-39,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.008192899986170232,A
125,268,RST,RST-39,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4}]",0.008507599995937198,A
