variant_id,parent_variant_id,candidate_id,parent_candidate_id,generation_family,event_count,event_specification,canonical_event_key,changed_fields
RST,,RST-29,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""},{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
RST,,RST-30,,Compounding moderate disturbance,2,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]","[{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""},{""duration_weeks"":3,""magnitude"":0.2,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",
RST,,RST-31,,Propagation-amplified cascade,1,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]","[{""duration_weeks"":6,""magnitude"":0.25,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""}]",
RST,,RST-32,,Propagation-amplified cascade,1,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]","[{""duration_weeks"":6,""magnitude"":0.35,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""}]",
RST,,RST-33,,Propagation-amplified cascade,1,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]","[{""duration_weeks"":6,""magnitude"":0.45,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""}]",
RST,,RST-34,,Propagation-amplified cascade,1,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]","[{""duration_weeks"":6,""magnitude"":0.55,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""}]",
RST,,RST-35,,Propagation-amplified cascade,1,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":4}]","[{""duration_weeks"":6,""magnitude"":0.65,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""}]",
RST,,RST-36,,Propagation-amplified cascade,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]","[{""duration_weeks"":5,""magnitude"":0.25,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":14,""target"":""demand""}]",
RST,,RST-37,,Propagation-amplified cascade,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]","[{""duration_weeks"":5,""magnitude"":0.35,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":14,""target"":""demand""}]",
RST,,RST-38,,Propagation-amplified cascade,2,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]","[{""duration_weeks"":5,""magnitude"":0.45,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":14,""target"":""demand""}]",
RST,,RST-39,,Propagation-amplified cascade,2,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]","[{""duration_weeks"":5,""magnitude"":0.55,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":14,""target"":""demand""}]",
RST,,RST-40,,Propagation-amplified cascade,2,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]","[{""duration_weeks"":5,""magnitude"":0.65,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":14,""target"":""demand""}]",
RST,,RST-41,,Recovery lag and temporal overlap,2,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""corridor""}]",
RST,,RST-42,,Recovery lag and temporal overlap,2,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""corridor""}]",
RST,,RST-43,,Recovery lag and temporal overlap,2,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""corridor""}]",
RST,,RST-44,,Recovery lag and temporal overlap,2,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.6,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""corridor""}]",
RST,,RST-45,,Recovery lag and temporal overlap,2,"[{""target"":""T2P"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.7,""recovery_weeks"":4,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""corridor""}]",
RST,,RST-46,,Recovery lag and temporal overlap,2,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":4,""start_week"":12,""target"":""corridor""}]",
RST,,RST-47,,Recovery lag and temporal overlap,2,"[{""target"":""corridor"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":4,""start_week"":12,""target"":""corridor""}]",
RST,,RST-48,,Recovery lag and temporal overlap,2,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":4,""start_week"":12,""target"":""corridor""}]",
RST,,RST-49,,Recovery lag and temporal overlap,2,"[{""target"":""corridor"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.6,""recovery_weeks"":4,""start_week"":12,""target"":""corridor""}]",
RST,,RST-50,,Recovery lag and temporal overlap,2,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":16,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.7,""recovery_weeks"":4,""start_week"":12,""target"":""corridor""}]",
MI-C,MI-FST,FST-MI-01,FST-MI-01,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
MI-C,MI-FST,FST-MI-02,FST-MI-02,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
MI-C,MI-FST,FST-MI-03,FST-MI-03,Tier-1 supplier failure,1,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",
MI-C,MI-FST,FST-MI-04,FST-MI-04,Tier-1 supplier failure,1,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",
MI-C,MI-FST,FST-MI-05,FST-MI-05,Tier-1 supplier failure,1,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",
MI-C,MI-FST,FST-MI-06,FST-MI-06,Tier-1 supplier failure,1,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",
MI-C,MI-FST,FST-MI-07,FST-MI-07,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.2,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-08,FST-MI-08,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.2,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-09,FST-MI-09,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-10,FST-MI-10,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-11,FST-MI-11,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-12,FST-MI-12,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-13,FST-MI-13,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.65,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-14,FST-MI-14,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.65,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-15,FST-MI-15,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.8,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-16,FST-MI-16,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.8,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-C,MI-FST,FST-MI-17,FST-MI-17,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-C,MI-FST,FST-MI-18,FST-MI-18,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-C,MI-FST,FST-MI-19,FST-MI-19,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-C,MI-FST,FST-MI-20,FST-MI-20,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-C,MI-FST,FST-MI-21,FST-MI-21,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-C,MI-FST,FST-MI-22,FST-MI-22,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-C,MI-FST,FST-MI-23,FST-MI-23,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-C,MI-FST,FST-MI-24,FST-MI-24,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-C,MI-FST,FST-MI-25,FST-MI-25,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-C,MI-FST,FST-MI-26,FST-MI-26,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
