architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,attribution_pair_iterations,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,baseline_memory_mb,peak_memory_mb,incremental_peak_memory_mb,memory_measurement,node_count,edge_count
shared,90,52,4,50,5,completed,50,50,200,600,6.942036800202914,7.791054000088479,23.470239299815148,38.3997283000499,600,253,347,802.0234375,802.0234375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
shared,300,52,4,50,1,completed,50,50,200,600,20.714017199818045,20.963322800176684,72.4982919000322,114.37324950000038,600,253,347,706.94140625,707.07421875,0.1328125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
shared,300,52,4,50,2,completed,50,50,200,600,20.790421899815556,19.04883539985167,62.61671019974165,102.67001310002524,600,253,347,627.09375,627.1015625,0.0078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
shared,300,52,4,50,3,completed,50,50,200,600,19.615440199733712,18.580663099943195,60.27095130010275,98.62843719997909,600,253,347,329.30078125,330.61328125,1.3125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
shared,300,52,4,50,4,completed,50,50,200,600,19.443180999951437,18.926319899968803,60.573317700007465,99.13119039998855,600,253,347,330.14453125,330.6484375,0.50390625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
shared,300,52,4,50,5,completed,50,50,200,600,21.179729300143663,19.918249700043816,63.604794999817386,105.38544460001867,600,253,347,330.6484375,330.65234375,0.00390625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
partitioned,3,52,4,50,1,completed,50,50,200,600,0.9646514000487514,1.0209623001283035,2.3794549999875017,4.605823600024451,600,253,347,267.26953125,267.3203125,0.05078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,3,52,4,50,2,completed,50,50,200,600,1.146059000166133,1.0066114999935962,2.3819169002817944,4.8755969000048935,600,253,347,267.32421875,267.36328125,0.0390625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,3,52,4,50,3,completed,50,50,200,600,0.7915007002884522,0.8605993001838215,2.550644000119064,4.517465400043875,600,253,347,267.36328125,267.44921875,0.0859375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,3,52,4,50,4,completed,50,50,200,600,0.5486842999816872,0.5650828999932855,1.5143917998066172,2.7958522000117227,600,253,347,267.453125,267.52734375,0.07421875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,3,52,4,50,5,completed,50,50,200,600,0.5690480000921525,0.5453708998975344,1.506755999987945,2.778015799995046,600,253,347,267.52734375,267.5703125,0.04296875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,9,52,4,50,1,completed,50,50,200,600,1.1562693997402675,1.142025200126227,4.0895513001596555,6.562454900005832,650,303,347,267.60546875,267.6171875,0.01171875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,9,52,4,50,2,completed,50,50,200,600,1.1004535999381915,1.1114950999617577,4.438061099965125,6.84344789996976,650,303,347,267.6171875,267.625,0.0078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,9,52,4,50,3,completed,50,50,200,600,1.3038925999426283,1.279065200185869,5.170443799754139,7.985497799993027,650,303,347,267.625,267.625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,9,52,4,50,4,completed,50,50,200,600,1.0345487999147736,1.0545603997888975,3.9966877999831922,6.2669745000312105,650,303,347,267.625,267.625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,9,52,4,50,5,completed,50,50,200,600,0.9593483000644483,0.9774948998820037,3.6739523996948265,5.777799599978607,650,303,347,267.625,267.640625,0.015625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,30,52,1,50,1,completed,50,0,0,0,2.115299399709329,0.0,0.0,2.285922800016124,50,50,0,267.66796875,267.66796875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,1,50,2,completed,50,0,0,0,2.412812999857124,0.0,0.0,2.601949199975934,50,50,0,267.66796875,267.71875,0.05078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,1,50,3,completed,50,0,0,0,2.401378199865576,0.0,0.0,2.6049647000036202,50,50,0,267.71875,267.8125,0.09375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,1,50,4,completed,50,0,0,0,2.0567435002303682,0.0,0.0,2.2100447999546304,50,50,0,267.8125,267.87109375,0.05859375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,1,50,5,completed,50,0,0,0,2.103702400054317,0.0,0.0,2.251830500026699,50,50,0,267.87109375,267.94921875,0.078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,1,completed,50,50,100,100,2.38800119998632,2.3974445998319425,4.718853699974716,9.677729399991222,350,201,149,268.05078125,268.453125,0.40234375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,2,completed,50,50,100,100,2.2829834999865852,2.1985191997955553,4.60360330005642,9.243336100014858,350,201,149,268.453125,268.62109375,0.16796875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,3,completed,50,50,100,100,2.2380903001176193,2.216793000116013,4.534554299956653,9.156896099972073,350,201,149,268.62109375,268.62109375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,4,completed,50,50,100,100,2.4462237997795455,2.5819597995723598,4.697593699966092,9.879643900028896,350,201,149,268.62109375,268.62109375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,5,completed,50,50,100,100,2.1688069999800064,2.1622870001592673,4.370628899836447,8.856193299987353,350,201,149,268.62109375,268.62109375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,50,1,completed,50,50,200,600,2.4652291998500004,2.4429305000812747,9.825005600170698,14.913901299994905,650,303,347,268.625,268.703125,0.078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,50,2,completed,50,50,200,600,2.536385300278198,2.5210933999624103,10.068597800040152,15.294984600041062,650,303,347,268.703125,268.92578125,0.22265625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,50,3,completed,50,50,200,600,2.191831599746365,2.196351599995978,8.704906499944627,13.248428900027648,650,303,347,268.92578125,269.16796875,0.2421875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,50,4,completed,50,50,200,600,2.3339483997551724,2.325532400107477,8.979104199970607,13.814843499974813,650,303,347,269.16796875,269.33203125,0.1640625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
