topology,reference_id,reference_family,threshold,passive_failure,first_cross_week,mechanism_signature,unclassified,event_specification,canonical_event_key
A,REF-A-S-0038,single event,moderate,False,,Unclassified,False,"[{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0038,single event,severe,False,,Unclassified,False,"[{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0039,single event,moderate,False,,Unclassified,False,"[{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0039,single event,severe,False,,Unclassified,False,"[{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0040,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0040,single event,severe,False,,Unclassified,False,"[{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0041,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0041,single event,severe,False,,Unclassified,False,"[{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0042,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0042,single event,severe,False,,Unclassified,False,"[{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0043,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0043,single event,severe,True,15.0,Concentrated dependency,False,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0044,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0044,single event,severe,True,15.0,Concentrated dependency,False,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0045,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0045,single event,severe,True,15.0,Concentrated dependency,False,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0046,single event,moderate,False,,Unclassified,False,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]","[{""duration_weeks"":2,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]"
