cohort,topology,threshold,method,numerator,denominator,coverage,structural_only_numerator,structural_only_denominator,structural_only_coverage,focal_numerator,focal_denominator,focal_coverage,observed_unique_signature_numerator,observed_unique_signature_denominator,observed_unique_signature_coverage,unclassified_failures,bootstrap_lower_95,bootstrap_upper_95,mean_seed_coverage,sd_seed_coverage,discovered_signature_count
archived,A,severe,MI-C,1188,1445,0.8221453287197232,555,661,0.8396369137670197,680,937,0.7257203842049093,6,16,0.375,0,0.8021195624487679,0.8417415342087077,0.8220101814027135,0.007509340555448311,6
archived,A,severe,MI-M,1268,1445,0.8775086505190312,602,661,0.9107413010590015,760,937,0.8110992529348986,8,16,0.5,0,0.8601843699394522,0.894044765253214,0.8774894362483957,0.006689381394957222,8
archived,A,severe,MI-MD,1232,1445,0.8525951557093425,567,661,0.8577912254160364,760,937,0.8110992529348986,7,16,0.4375,0,0.8345762711864407,0.8703451535542155,0.8524464950560544,0.012385761663519505,7
archived,A,severe,MI-MDA,1284,1445,0.8885813148788927,579,661,0.875945537065053,812,937,0.8665955176093917,8,16,0.5,0,0.8719833149232722,0.9043297651362814,0.8883150581228371,0.02044958079454413,8
validation,A,moderate,FST-original,2000,2483,0.8054772452678212,1544,1886,0.8186638388123012,749,1232,0.6079545454545454,4,16,0.25,0,0.789642192988887,0.8207510977238096,0.8055221133142993,0.008906242762545528,4
validation,A,moderate,MI-FST,2114,2483,0.851389448248087,1650,1886,0.8748674443266172,863,1232,0.700487012987013,5,16,0.3125,0,0.837534010738966,0.8650308591168298,0.8512123891766412,0.014361097163041884,5
validation,A,moderate,RST,2237,2483,0.900926298832058,1730,1886,0.9172852598091198,986,1232,0.8003246753246753,7,16,0.4375,0,0.8888877861585285,0.9127791385476334,0.9008742729024111,0.006128808854447543,7
validation,A,moderate,MI-C,2114,2483,0.851389448248087,1650,1886,0.8748674443266172,863,1232,0.700487012987013,5,16,0.3125,0,0.8375350140056023,0.864951768488746,0.8512123891766412,0.014361097163041884,5
validation,A,moderate,MI-M,2156,2483,0.8683044703987113,1680,1886,0.8907741251325557,905,1232,0.734577922077922,6,16,0.375,0,0.8546324570286232,0.8815326261891119,0.8681818234668779,0.01158155745741236,6
validation,A,moderate,MI-MD,2156,2483,0.8683044703987113,1680,1886,0.8907741251325557,905,1232,0.734577922077922,6,16,0.375,0,0.8549096625727339,0.8813425787745705,0.8681818234668779,0.01158155745741236,6
