cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,support_method,monte_carlo_frequency,rst_numerator,comparator_numerator,paired_denominator,observed_delta_pp,per_seed_delta_mean_pp,per_seed_delta_sd_pp,delta_pp_lower_95,delta_pp_upper_95
archived,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41;RST-42;RST-43,RST,32.0,,,,,,,,
archived,B,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,43.0,,,,,,,,
archived,B,severe,FST-original,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-48,FST-original,14.0,,,,,,,,
archived,B,severe,FST-original,paired_delta_summary,,,,,833.0,577.0,961.0,26.63891779396462,26.515217918569213,3.6752718249906158,23.643576337185248,29.657435856724156
archived,B,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-39;FST-MI-40,MI-FST,8.0,,,,,,,,
archived,B,severe,MI-FST,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-MI-37;FST-MI-38,MI-FST,14.0,,,,,,,,
archived,B,severe,MI-FST,paired_delta_summary,,,,,833.0,795.0,961.0,3.9542143600416235,3.9082994196975407,1.7191173368346897,2.1118979268040308,5.773461867016309
archived,B,severe,MI-C,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-39;FST-MI-40,MI-C,8.0,,,,,,,,
archived,B,severe,MI-C,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-MI-37;FST-MI-38,MI-C,14.0,,,,,,,,
archived,B,severe,MI-C,paired_delta_summary,,,,,833.0,795.0,961.0,3.9542143600416235,3.9082994196975407,1.7191173368346897,2.118632258186422,5.806485676329324
archived,B,severe,MI-M,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,43.0,,,,,,,,
archived,B,severe,MI-M,paired_delta_summary,,,,,833.0,730.0,961.0,10.718002081165453,10.643749060872588,2.0271423248113396,8.805635011441648,12.68988857125071
archived,B,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,43.0,,,,,,,,
archived,B,severe,MI-MD,paired_delta_summary,,,,,833.0,730.0,961.0,10.718002081165453,10.643749060872588,2.0271423248113396,8.832419807754617,12.725392846813842
archived,B,severe,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,43.0,,,,,,,,
archived,B,severe,MI-MDA,paired_delta_summary,,,,,833.0,790.0,961.0,4.474505723204995,4.373673669269335,2.0204379935427146,3.2257252379560146,5.843475061717402
validation,B,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,31.0,,,,,,,,
validation,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-42;RST-43;RST-44;RST-45,RST,225.0,,,,,,,,
validation,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,RST,37.0,,,,,,,,
validation,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,15.0,,,,,,,,
validation,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,FST-original,paired_delta_summary,,,,,1975.0,1649.0,2171.0,15.01612160294795,15.017397352675601,1.939739475097047,13.534129124605121,16.48964388900585
validation,B,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,96.0,,,,,,,,
validation,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,15.0,,,,,,,,
validation,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-FST,paired_delta_summary,,,,,1975.0,1846.0,2171.0,5.9419622293873795,5.958329528876946,1.342929904084205,4.979190388883528,6.951632913713715
validation,B,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,RST,96.0,,,,,,,,
validation,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,15.0,,,,,,,,
validation,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-C,paired_delta_summary,,,,,1975.0,1846.0,2171.0,5.9419622293873795,5.958329528876946,1.342929904084205,4.942249821002708,6.92521747809664
validation,B,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,RST,96.0,,,,,,,,
validation,B,moderate,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-M,paired_delta_summary,,,,,1975.0,1861.0,2171.0,5.25103638876094,5.263758918821031,1.2362232158482873,4.3357933579335795,6.229876212541448
validation,B,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,96.0,,,,,,,,
validation,B,moderate,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-MD,paired_delta_summary,,,,,1975.0,1861.0,2171.0,5.25103638876094,5.263758918821031,1.2362232158482873,4.3478260869565215,6.215226077135191
